2020-08-02 13:23:34,b'RT @NehaBajajINC: #AmitShah tested #corona #positive.\nLe me waiting for their #royal entry on #5_August at #Ayodhya https://t.co/R9i09wgsiC'
2020-08-02 13:23:33,b'Homemade COVID-19 facemask. #covid19 #corona #facemask #fujifilm #fujifilm_xseries #fuji #blackandwhitephotography\xe2\x80\xa6 https://t.co/V90MbzwnEl'
2020-08-02 13:23:26,b'RT @BlakePavey: Response to this video has been absolutely insane! Cannot thank everyone enough! 4.5 Million views on TikTok! #COVID19 #cov\xe2\x80\xa6'
2020-08-02 13:23:21,b'RT @BlakePavey: Response to this video has been absolutely insane! Cannot thank everyone enough! 4.5 Million views on TikTok! #COVID19 #cov\xe2\x80\xa6'
2020-08-02 13:22:45,"b""#BREAKING : Union Home Minister @AmitShah Ji is tested positive for #Covid19.. He is in a hospital as per doctors'\xe2\x80\xa6 https://t.co/Kqc5i3Mku2"""
2020-08-02 13:22:45,"b""RT @sanghaviharsh: It's not easy, trust me.\n\nHats off to all the #corona warriors. https://t.co/x5cz29jQuF"""
2020-08-02 13:22:43,b'@SrBachchan @AmitShah Relax its Just A Meme\n\n#corona @TaniyaManhas12 @DrRadhikaSharm1 @DograWanderer @Being_Dogra\xe2\x80\xa6 https://t.co/M3TjMiElzN'
2020-08-02 13:22:36,b'Just me and my random thoughts.\nhttps://t.co/qrS992ug4H \n#apocalypse #covid #zombie #coronavirus #zombies #art\xe2\x80\xa6 https://t.co/r3iKQOqy7o'
2020-08-02 13:22:35,"b'Gespot in #LaPlata, #Argentini\xc3\xab #COVID19NL #Covid19 #Corona #CoronaVirusArgentina #CoronaVirusNederland #HoudAfstand https://t.co/SQusLv5NS2'"
2020-08-02 13:22:30,"b'RT @devashak: How can you do this, when #Corona cases are raising?\nYour track &amp; screen method has failed miserably?\nExcept a few government\xe2\x80\xa6'"
2020-08-02 13:22:19,b'@AnilDeshmukhNCP @MumbaiPolice @itsSSR If @NitishKumar does not know the law he shd ask  @CMOMaharashtra to help.\xe2\x80\xa6 https://t.co/ft5ZpsJHG3'
2020-08-02 13:22:17,"b'RT @Saravan52786562: TN - Aug 2nd\n\nActive Cases - 56,998 \n\nConfirmed Cases - 5,875 / 257K \n\nTests - 60,344 / 2.77 Million \n\nRecoveries - 5,\xe2\x80\xa6'"
2020-08-02 13:22:08,b'RT @EhsanKhanIYC: @AmitShah #Corona Positive. https://t.co/NpiOul7wSH'
2020-08-02 13:22:05,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:21:54,"b""RT @sanghaviharsh: It's not easy, trust me.\n\nHats off to all the #corona warriors. https://t.co/x5cz29jQuF"""
2020-08-02 13:21:41,"b""I request you all don't be like #AmitShah . Wear a mask properly otherwise you can end up tested #Corona positive \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/f9u24I3u42"""
2020-08-02 13:21:38,"b'RT @FarukFirat1987: #BREAKING: Huge protest now in #Berlin, #Germany. They demonstrante against #Corona and against the government and they\xe2\x80\xa6'"
2020-08-02 13:21:29,b'RT @pankajbhatt54: @AmitShah Wishing you speedy Recovery from #Corona from victims of #NSEL scam. You are the #chanakya of contemporary Ind\xe2\x80\xa6'
2020-08-02 13:21:28,b'Do and Die...\n#corona'
2020-08-02 13:21:25,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:21:03,b'I pray Lord Jagannath &amp; Lord Balaji for their Blessings on Shri @AmitShah ji for his speedy recovery from #corona.\xe2\x80\xa6 https://t.co/9kjNbjM41R'
2020-08-02 13:20:45,"b'RT @Saravan52786562: TN - Aug 2nd\n\nActive Cases - 56,998 \n\nConfirmed Cases - 5,875 / 257K \n\nTests - 60,344 / 2.77 Million \n\nRecoveries - 5,\xe2\x80\xa6'"
2020-08-02 13:20:32,"b'How can you do this, when #Corona cases are raising?\nYour track &amp; screen method has failed miserably?\nExcept a few\xe2\x80\xa6 https://t.co/9xdAjrTHji'"
2020-08-02 13:20:28,b'RT @shefali_bagga: #amishah tested positive for #corona'
2020-08-02 13:20:00,"b'TN - Aug 2nd\n\nActive Cases - 56,998 \n\nConfirmed Cases - 5,875 / 257K \n\nTests - 60,344 / 2.77 Million \n\nRecoveries -\xe2\x80\xa6 https://t.co/TgzE8DWIZ8'"
2020-08-02 13:19:59,b'Just curious - any answers to why Medanta is the place to go for #corona for politicians? The list is growing long\xe2\x80\xa6 https://t.co/qXHISTTk1Q'
2020-08-02 13:19:55,b'RT @ATLASti: Learn how you can continue to do research with your team during social distancing with #ATLAStiCloud. Article written by Dr. N\xe2\x80\xa6'
2020-08-02 13:19:46,b'#corona attack on three biggies @swatantrabjp @AmitShah #BanwarilalPurohit #Latest #RamMandir'
2020-08-02 13:19:43,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:19:31,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:19:28,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:19:15,b'@AmitShah is #Corona Positive'
2020-08-02 13:19:11,"b'RT @Saravan52786562: #Kerala\n\nNew cases - 1,169\n#CoronavirusIndia\n#coronavirus\n#Corona\n#28YrsOfSELFMADETHALAAjith #Valimai #COVID19 #Corona\xe2\x80\xa6'"
2020-08-02 13:19:09,"b'RT @Saravan52786562: #Kerala\n\nNew cases - 1,169\n#CoronavirusIndia\n#coronavirus\n#Corona\n#28YrsOfSELFMADETHALAAjith #Valimai #COVID19 #Corona\xe2\x80\xa6'"
2020-08-02 13:19:05,"b'RT @TreasureHunt_TH: Two photos here.\n~ 1st photo, Not many believed when we discussed about it years back and also when we put it in the s\xe2\x80\xa6'"
2020-08-02 13:18:54,"b'#Kerala\n\nNew cases - 1,169\n#CoronavirusIndia\n#coronavirus\n#Corona\n#28YrsOfSELFMADETHALAAjith #Valimai #COVID19 #CoronaVirusUpdates'"
2020-08-02 13:18:49,b'RT @TPRDtCollector: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 27\xe2\x80\xa6'
2020-08-02 13:18:42,b'RT @governorap: Andhra Pradesh Governor Shri Biswabhusan Harichandan pray Lord Jagannath &amp; Lord Balaji for their Blessings on Shri @AmitSha\xe2\x80\xa6'
2020-08-02 13:18:41,b'RT @komalgauthamTOI: The focus volunteers in many wards are doing an excellent job. #covidwarriors @madhavaram #corona #chennai \xe2\x81\xa6@chennaico\xe2\x80\xa6'
2020-08-02 13:18:12,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:18:11,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:18:11,"b'RT @BharatAatmaj: @AmitShah You have fought and won many bigger enemies, #corona is nothing for you. Our prayers and good wishes are with y\xe2\x80\xa6'"
2020-08-02 13:17:59,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:17:41,b'RT @UKCovid19Stats: Wales Daily Coronavirus (COVID-19) Report. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/tlBfyKy9BL'
2020-08-02 13:17:34,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:17:29,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
2020-08-02 13:17:24,"b'RT @Saravan52786562: TN\n\nNew Cases - 5,875\n#coronavirus\n#TNCoronaUpdates #CoronavirusIndia #28YrsOfSELFMADETHALAAjith\n#Valimai #COVID19 #Co\xe2\x80\xa6'"
2020-08-02 13:17:23,b'RT @Vijaykarthikeyn: #Tiruppur #Corona #Update  \nToday\xe2\x80\x99s cases 40\nTotal cases  949\nActive cases 339\nDischarges 16\nTotal House quarantine- 2\xe2\x80\xa6'
